Dish_ID,Dish_Name,Category,Cuisine,Serving_Size_g,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Ayurvedic_Rasa,Ayurvedic_Virya,Ayurvedic_Guna,Notes
155,Palak Shorba (Spinach Soup),Soups,Indian,250,120,5,10,7,4,"Astringent, Bitter, Sweet","Cold","Easy","Iron-rich and cooling. Excellent for Pitta."
156,Badam Doodh (Almond Milk),Beverages,Indian,200,250,8,20,15,3,"Sweet","Hot","Moderate","Nourishing and builds Ojas. Pacifies Vata. Can be heavy for Kapha."
157,Thandai (Cooling Nut & Spice Drink),Beverages,Indian,200,280,7,25,16,4,"Sweet, Pungent","Cold","Difficult","A festive drink that is cooling but heavy. Good for Pitta in moderation."
158,Jaljeera (Cumin & Mint Cooler),Beverages,Indian,250,30,0.5,7,0,1,"Pungent, Sour, Salty","Cold","Easy","Excellent digestive and cooling appetizer. Can aggravate Vata if too cold."
159,Aam Panna (Raw Mango Cooler),Beverages,Indian,250,150,1,38,0.2,2,"Sour, Sweet, Salty","Cold","Easy","Excellent for preventing heat stroke. Cools Pitta."
160,Kanji Vada (Lentil Dumplings in Kanji),Snacks,Indian,250,280,10,40,9,8,"Sour, Pungent","Cold","Moderate","Fermented drink with fried vadas. Can be Pitta-aggravating."
161,Dahi Vada / Dahi Bhalla (Lentil Fritters in Yogurt),Snacks,Indian,200,300,12,30,15,7,"Sour, Sweet","Cold","Difficult","Heavy, cold, and channel-clogging. Increases Kapha."
162,Papdi Chaat,Snacks,Indian,200,400,8,50,18,6,"Sweet, Sour, Salty, Pungent","Cold","Difficult","A mix of heavy, fried, and cold items. Deranges all doshas."
163,Bhel Puri,Snacks,Indian,150,320,7,60,7,8,"All Tastes","Hot","Moderate","Dry and light nature aggravates Vata. Pungent spices aggravate Pitta."
164,Sev Puri,Snacks,Indian,150,380,8,45,20,7,"All Tastes","Hot","Difficult","Heavy and fried. Increases Pitta and Kapha."
165,Pani Puri / Golgappa,Snacks,Indian,150,350,7,55,12,5,"Pungent, Sour, Salty","Hot","Difficult","Spicy water aggravates Pitta, fried puri aggravates Kapha."
166,Dabeli (Sweet & Spicy Burger),Snacks,Indian,150,360,7,60,10,6,"Sweet, Pungent, Sour, Salty","Hot","Difficult","A complex mix of tastes that can be hard to digest."
167,Khaman (Savory Gram Flour Cake),Snacks,Indian,150,260,11,35,9,6,"Sweet, Sour","Hot","Moderate","Similar to Dhokla, light but fermented. Can increase Pitta."
168,Fafda-Jalebi,Breakfast,Indian,200,550,10,80,22,5,"Salty, Sweet","Hot","Difficult","A heavy, fried breakfast that increases Kapha and Pitta."
169,Undhiyu (Mixed Winter Vegetables),Main Course,Indian,300,400,10,30,28,12,"Sweet, Pungent, Astringent","Hot","Difficult","A heavy, oily dish with many ingredients. Best for Vata in winter."
170,Olan (Ash Gourd in Coconut Milk),Main Course,Indian,250,180,4,12,14,5,"Sweet","Cold","Easy","Very simple and cooling Kerala dish. Excellent for Pitta."
171,Pachadi (Yogurt based side dish),Condiments,Indian,120,110,4,10,6,2,"Sour, Sweet, Pungent","Cold","Moderate","A cooling side dish. The properties depend on the vegetable used."
172,Kichadi (Yogurt based side dish),Condiments,Indian,120,115,4,11,6,2,"Sour, Sweet, Pungent","Cold","Moderate","Similar to Pachadi, often with sautéed vegetables."
173,Thoran (Stir-fried Veggie with Coconut),Vegetables (Sabzi),Indian,150,190,4,10,15,6,"Sweet, Astringent","Cold","Easy","A light way to cook vegetables. Tridoshic when spiced mildly."
174,Erissery (Pumpkin and Lentil Stew),Main Course,Indian,250,280,10,30,14,10,"Sweet","Hot","Moderate","A traditional Kerala dish, grounding and nourishing."
175,Pulissery (Yogurt based Curry),Main Course,Indian,250,200,7,18,10,3,"Sour, Sweet","Cold","Easy","A light, tangy curry that aids digestion. Good for Pitta."
176,Kadala Curry (Black Chickpea Curry),Main Course,Indian,250,340,15,45,12,13,"Astringent, Sweet","Hot","Difficult","Heavy and can be gassy. A popular dish in Kerala."
177,Green Peas Masala,Vegetables (Sabzi),Indian,250,260,10,35,9,10,"Sweet, Astringent","Cold","Moderate","Can be slightly drying. Good for Pitta. Vata should have with ghee."
178,Moru Curry (Spiced Buttermilk),Soups,Indian,250,150,6,12,8,1,"Sour, Pungent","Cold","Easy","Lighter than Moru Kuzhambu. Excellent for digestion."
179,Cauliflower Manchurian (Dry),Snacks,Indian,200,380,8,40,22,7,"Pungent, Sweet, Sour","Hot","Difficult","Fried and heavy with complex sauces. Increases all doshas."
180,Gobi 65,Snacks,Indian,200,400,9,35,26,6,"Pungent, Salty","Hot","Difficult","Deep-fried and spicy. Aggravates Pitta and Kapha."
181,Chilli Paneer (Dry),Snacks,Indian,200,420,18,20,30,5,"Pungent, Salty, Sour","Hot","Difficult","Heavy, fried, and spicy. Increases Pitta and Kapha."
182,Baby Corn Stir Fry,Vegetables (Sabzi),Indian,200,200,5,25,10,6,"Sweet","Hot","Moderate","Corn can be drying and Vata-aggravating for some individuals."
183,Mushroom Matar,Main Course,Indian,250,280,10,25,16,8,"Sweet","Cold","Difficult","Mushrooms are considered heavy and Tamasic. Can increase Kapha."
184,Stuffed Parval,Vegetables (Sabzi),Indian,250,250,6,20,16,8,"Sweet, Bitter, Pungent","Neutral","Moderate","Spices make it more heating. A nutritious tridoshic vegetable."
185,Stuffed Bhindi,Vegetables (Sabzi),Indian,250,260,5,18,19,9,"Sweet, Pungent, Astringent","Cold","Moderate","Slightly heavy due to stuffing and oil. Good for Pitta and Kapha."
186,Bharwa Baingan (Stuffed Eggplant),Vegetables (Sabzi),Indian,250,280,6,22,19,10,"Pungent, Astringent, Sweet","Hot","Moderate","Heating spices balance the cooling nature of eggplant."
187,Amritsari Kulcha,Breads,Indian,150,400,10,65,12,6,"Salty, Sweet","Hot","Difficult","A heavy, stuffed bread made with refined flour. Increases Kapha."
188,Sheermal (Sweet, Saffron Bread),Breads,Indian,100,350,8,50,13,3,"Sweet","Cold","Difficult","A rich, sweet bread that increases Kapha."
189,Baati (Hard Wheat Roll),Breads,Indian,100,300,8,50,8,7,"Sweet","Hot","Difficult","Very dry and heavy. Must be eaten with dal and ghee to pacify Vata."
190,Dal Baati Churma,Main Course,Indian,400,800,25,100,35,20,"Sweet, Salty, Pungent","Hot","Difficult","A very heavy Rajasthani meal. Requires strong digestion."
191,Gatte ki Sabzi (Gram Flour Dumplings Curry),Main Course,Indian,250,320,12,30,17,8,"Pungent, Salty, Sour","Hot","Moderate","Can be drying for Vata. A classic Rajasthani dish."
192,Ker Sangri,Vegetables (Sabzi),Indian,200,250,7,25,14,10,"Pungent, Sour, Astringent","Hot","Difficult","A unique Rajasthani dish with dried berries and beans. Very drying."
193,Laal Maas (Red Meat Curry),Main Course,Indian,250,500,25,10,42,3,"Pungent, Salty","Hot","Difficult","Extremely heating and spicy. Strongly aggravates Pitta."
194,Safed Maas (White Meat Curry),Main Course,Indian,250,480,25,12,38,3,"Sweet, Pungent","Hot","Difficult","Rich and heavy due to nuts and cream. Increases Kapha."
195,Dhansak (Parsi Lentil and Meat Stew),Main Course,Indian,350,550,30,50,25,18,"Sweet, Sour, Pungent","Hot","Difficult","A heavy, complex dish. Difficult to digest."
196,Patra Ni Machhi (Steamed Fish in Leaves),Main Course,Indian,200,300,25,5,20,2,"Pungent, Sour, Sweet","Hot","Moderate","Steaming makes it lighter than fried fish. Pitta-aggravating chutney."
197,Hyderabadi Biryani,Grains,Indian,400,600,20,80,22,8,"Pungent, Salty, Sour","Hot","Difficult","A rich, aromatic, and heavy dish. Can increase Pitta and Kapha."
198,Lucknowi Biryani,Grains,Indian,400,550,18,75,20,7,"Sweet, Salty","Hot","Difficult","Milder than Hyderabadi biryani, but still heavy and Kapha-increasing."
199,Tahiri (Vegetarian Rice Pilaf),Grains,Indian,300,420,9,70,12,8,"Sweet, Salty, Pungent","Hot","Moderate","A simple one-pot rice and vegetable dish. Lighter than biryani."
200,Zarda (Sweet Rice),Desserts,Indian,150,380,5,75,8,2,"Sweet","Cold","Difficult","A heavy, sweet rice dish. Increases Kapha."
201,Ariselu (Rice Flour Jaggery Sweet),Desserts,Indian,40,180,2,25,8,1,"Sweet","Hot","Difficult","A traditional Andhra sweet, fried and heavy."
202,Bobbatlu / Obbattu (Sweet Flatbread),Desserts,Indian,100,340,9,58,9,7,"Sweet","Hot","Difficult","Another name for Puran Poli. Very heavy."
203,Kuzhi Paniyaram (Savory Rice Dumplings),Breakfast,Indian,150,280,7,45,8,4,"Sweet, Sour, Salty","Hot","Moderate","Made from fermented batter, can increase Pitta."
204,Kambu Koozh (Pearl Millet Porridge),Healing Meals,Indian,300,250,8,50,3,9,"Sweet, Astringent","Cold","Easy","A cooling, fermented porridge. Excellent for summer and for Pitta."
205,Ragi Koozh (Finger Millet Porridge),Healing Meals,Indian,300,270,7,55,3,10,"Astringent, Sweet","Hot","Easy","Warming and strengthening. Good for Kapha."
206,Varagu Arisi Upma (Kodo Millet Upma),Breakfast,Indian,200,320,8,60,6,9,"Sweet, Astringent","Hot","Moderate","Same as Dish 66. Gluten-free and good for balancing blood sugar."
207,Thinai Pongal (Foxtail Millet Pongal),Breakfast,Indian,250,380,12,65,9,11,"Sweet, Salty, Pungent","Hot","Moderate","A healthier, lighter alternative to rice-based Pongal."
208,Samai Pulao (Little Millet Pulao),Grains,Indian,250,340,9,62,7,10,"Sweet, Astringent","Hot","Moderate","A light, gluten-free Pulao. Good for Kapha and Vata."
209,Panakam (Jaggery Ginger Cooler),Beverages,Indian,250,120,0.5,30,0,0,"Sweet, Pungent","Cold","Easy","A traditional temple offering. Cooling for Pitta, ginger helps digestion."
210,Nannari Sharbat (Sarsaparilla Drink),Beverages,Indian,250,130,0.2,32,0,0,"Sweet, Bitter","Cold","Easy","An excellent blood purifier and body coolant. Pitta-pacifying."
211,Beetroot Pachadi,Condiments,Indian,120,120,4,12,6,3,"Sweet, Sour","Neutral","Easy","Cooked beetroot is heating, yogurt is cooling. A balanced raita."
212,Vellarikka Kichadi (Cucumber in Yogurt),Condiments,Indian,120,90,4,7,5,1,"Sweet, Sour","Cold","Easy","Extremely cooling and Pitta-pacifying. Similar to cucumber raita."
213,Inji Puli (Ginger-Tamarind Chutney),Condiments,Indian,20,60,1,10,2,1,"Sour, Pungent, Sweet, Bitter","Hot","Easy","A potent digestive aid. A small amount kindles agni."
214,Thengai Thogayal (Coconut Chutney),Condiments,Indian,30,100,2,5,9,3,"Sweet, Pungent","Cold","Moderate","A thicker form of coconut chutney. Cooling but can be heavy."
215,Paruppu Thogayal (Lentil Chutney),Condiments,Indian,30,90,4,10,4,3,"Astringent, Pungent, Salty","Hot","Moderate","A digestive chutney made with roasted lentils. Can be drying."
216,Pudina Thogayal (Mint Chutney),Condiments,Indian,30,40,1,6,1,2,"Pungent, Astringent","Cold","Easy","Similar to North Indian mint chutney, very cooling for Pitta."
217,Kollu Rasam (Horse Gram Soup),Soups,Indian,250,150,8,25,2,7,"Astringent, Pungent, Sour","Hot","Moderate","Medicinal soup for weight loss and reducing Kapha. Very heating."
218,Mysore Rasam,Soups,Indian,250,120,4,20,3,4,"Pungent, Sour, Sweet","Hot","Moderate","Slightly thicker and sweeter than regular rasam. Good for Vata."
219,Pineapple Rasam,Soups,Indian,250,130,3,25,2,3,"Sweet, Sour, Pungent","Hot","Easy","The sweetness pacifies Vata, but sourness can still increase Pitta."
220,Murungakkai Chips (Drumstick Fries),Snacks,Indian,100,250,5,20,17,8,"Pungent, Sweet","Hot","Difficult","Fried snack. Loses some of the medicinal benefits of drumstick."
221,Vazhakkai Chips (Raw Banana Chips),Snacks,Indian,50,250,1,30,14,3,"Astringent, Sweet, Salty","Cold","Difficult","Fried and salty. The astringency can be drying and Vata-aggravating."
222,Tapioca Chips (Kappa Chips),Snacks,Indian,50,240,1,35,11,3,"Sweet, Salty","Hot","Difficult","Heavy and starchy. Fried version increases Kapha."
223,Jackfruit Chips (Chakka Chips),Snacks,Indian,50,260,1,32,15,4,"Sweet, Salty","Hot","Difficult","A classic Kerala snack. Heavy and hard to digest."
224,Shankhpushpi Sharbat (Brain Tonic),Medicinal Meals,Indian,200,90,0.5,22,0,0,"Bitter, Astringent","Cold","Easy","Excellent for memory, intellect, and reducing mental fatigue. Tridoshic."
225,Arjuna Ksheera Pak (Heart Tonic Milk),Medicinal Meals,Indian,200,160,8,16,7,1,"Astringent","Cold","Easy","A milk decoction of Arjuna bark, known as a powerful cardiotonic."
226,Yashtimadhu Milk (Licorice Milk),Beverages,Indian,200,150,8,15,6,0,"Sweet, Bitter","Cold","Easy","Soothes sore throats, coughs, and acidity. Pitta-pacifying."
227,Kashayam (Herbal Decoction),Medicinal Meals,Indian,150,20,0.5,4,0.2,1,"Varies (Often Bitter, Pungent)","Hot","Easy","Generic term for a medicinal tea. Properties depend on the herbs used."
228,Lapsi (Broken Wheat Sweet),Desserts,Indian,150,300,6,55,6,8,"Sweet","Hot","Moderate","A healthy dessert option. High in fiber."
229,Malpua (Sweet Fried Pancake),Desserts,Indian,80,300,5,40,14,1,"Sweet, Sour","Hot","Difficult","Deep-fried, soaked in sugar syrup. Very heavy, increases Kapha and Pitta."
230,Rabri (Condensed Milk Sweet),Desserts,Indian,100,250,8,20,15,0,"Sweet","Cold","Difficult","Heavy, sweet, and cooling. Greatly increases Kapha."
231,Basundi (Sweetened Thick Milk),Desserts,Indian,150,280,10,25,16,0,"Sweet","Cold","Difficult","Similar to Rabri, very Kapha-aggravating."
232,Kalakand (Milk Cake),Desserts,Indian,50,200,7,20,10,0,"Sweet, Sour","Cold","Difficult","A heavy milk-based sweet. Increases Kapha and Pitta."
233,Petha (Ash Gourd Sweet),Desserts,Indian,50,180,0.5,45,0.1,1,"Sweet","Cold","Easy","Ash gourd is cooling, but the high sugar content makes it Kapha-aggravating."
234,Mysore Pak,Desserts,Indian,50,250,3,25,16,2,"Sweet","Hot","Difficult","Made with a lot of ghee and sugar. Very heavy."
235,Coconut Barfi,Desserts,Indian,40,200,2,20,12,3,"Sweet","Cold","Difficult","Heavy due to coconut and sugar. Increases Kapha."
236,Kaju Katli (Cashew Fudge),Desserts,Indian,30,160,3,15,10,1,"Sweet","Cold","Difficult","Heavy and Kapha-increasing. Nuts can aggravate Pitta."
237,Badam Halwa (Almond Pudding),Desserts,Indian,80,380,10,35,22,4,"Sweet","Hot","Difficult","Very nourishing and strengthening but also very heavy."
238,Pista Barfi (Pistachio Fudge),Desserts,Indian,30,170,4,14,11,1,"Sweet, Bitter","Hot","Difficult","Pistachios are slightly heating. Still heavy and Kapha-increasing."
239,Walnut Barfi,Desserts,Indian,30,180,3,12,14,1,"Sweet, Astringent","Hot","Difficult","Walnuts are heating and good for the brain. Heavy sweet."
240,Fig and Anjeer Roll,Desserts,Indian,40,150,3,25,5,4,"Sweet","Hot","Moderate","A healthier dessert option with no refined sugar. Good for Vata."
241,Chamomile Tea,Beverages,Indian,250,2,0,0.5,0,0,"Bitter, Sweet","Cold","Easy","Excellent for calming the nerves, promoting sleep, and soothing digestion. Pitta-Vata pacifying."
242,Peppermint Tea,Beverages,Indian,250,2,0,0.5,0,0,"Pungent","Cold","Easy","Cools the body and soothes an upset stomach. Pitta-pacifying."
243,Hibiscus Tea,Beverages,Indian,250,5,0,1,0,0,"Sour, Astringent, Sweet","Cold","Easy","Cools the blood, good for the heart, and purifies the liver. Pitta-pacifying."
244,Dandelion Root Tea,Medicinal Meals,Indian,250,5,0,1,0,0,"Bitter, Sweet","Cold","Easy","A powerful liver detoxifier and diuretic. Good for Pitta and Kapha."
245,Nettle Tea,Medicinal Meals,Indian,250,5,0,1,0,0,"Astringent, Bitter","Cold","Easy","Cleanses the blood and is rich in minerals. Reduces Kapha and Pitta."
246,Tulsi Ginger Tea,Beverages,Indian,250,10,0.2,2,0,0,"Pungent, Bitter","Hot","Easy","An immunity-boosting tea for colds and coughs. Pacifies Vata and Kapha."
247,Licorice Tea,Beverages,Indian,250,5,0,1,0,0,"Sweet","Cold","Easy","Soothes the respiratory tract and digestive system. Good for Vata and Pitta."
248,Ajwain-Ginger Tea,Beverages,Indian,250,8,0.1,1.5,0,0,"Pungent","Hot","Easy","Excellent for post-meal bloating and gas. Vata and Kapha pacifying."
249,Cinnamon Tea,Beverages,Indian,250,5,0,1,0,0,"Pungent, Sweet, Astringent","Hot","Easy","Balances blood sugar and warms the body. Pacifies Vata and Kapha."
250,Cardamom Tea,Beverages,Indian,250,5,0,1,0,0,"Pungent, Sweet","Cold","Easy","Tridoshic spice. It aids digestion and freshens breath."
